iter	Passed	Remaining
980	274781	5321
981	274987	5040
982	275237	4759
983	275473	4479
984	275676	4198
985	275880	3917
986	276097	3636
987	276299	3355
988	276481	3075
989	276686	2794
990	276863	2514
991	276948	2233
992	277050	1953
993	277188	1673
994	277276	1393
995	277382	1113
996	277496	834
997	277651	556
998	277766	278
999	277851	0
